title,genres,overview,cast,director,keywords,vote_average,poster_path,language,industry
3 Idiots,Comedy Drama,Three engineering students challenge a rigid education system while chasing friendship and purpose.,Aamir Khan R Madhavan Sharman Joshi Kareena Kapoor,Rajkumar Hirani,college friendship education comedy inspiration,8.8,,Hindi,Bollywood
Dangal,Biography Drama Sport,A former wrestler trains his daughters to become world-class wrestlers.,Aamir Khan Fatima Sana Shaikh Sanya Malhotra,Nitesh Tiwari,wrestling sports family women empowerment,8.7,,Hindi,Bollywood
Lagaan,Drama Sport Musical,Villagers challenge British officers to a cricket match to avoid paying tax.,Aamir Khan Gracy Singh Rachel Shelley,Ashutosh Gowariker,cricket village british india underdog,8.1,,Hindi,Bollywood
Sholay,Action Adventure Drama,Two criminals are hired to capture a ruthless bandit terrorizing a village.,Amitabh Bachchan Dharmendra Hema Malini,Ramesh Sippy,friendship revenge bandit village action,8.2,,Hindi,Bollywood
Zindagi Na Milegi Dobara,Comedy Drama Romance,Three friends rediscover life and friendship during a road trip in Spain.,Hrithik Roshan Farhan Akhtar Abhay Deol Katrina Kaif,Zoya Akhtar,travel friendship road trip self discovery,8.2,,Hindi,Bollywood
Queen,Comedy Drama,A sheltered woman goes on her honeymoon alone and discovers independence.,Kangana Ranaut Rajkummar Rao Lisa Haydon,Vikas Bahl,self discovery travel independence women,8.1,,Hindi,Bollywood
PK,Comedy Drama Sci-Fi,An alien questions religious customs and human beliefs after landing on Earth.,Aamir Khan Anushka Sharma Sushant Singh Rajput,Rajkumar Hirani,alien religion satire comedy humanity,8.1,,Hindi,Bollywood
Andhadhun,Crime Mystery Thriller,A blind pianist becomes involved in a murder mystery full of deception.,Ayushmann Khurrana Tabu Radhika Apte,Sriram Raghavan,blind pianist murder twist crime,8.2,,Hindi,Bollywood
Gully Boy,Drama Music,A young rapper from Mumbai rises through underground hip-hop culture.,Ranveer Singh Alia Bhatt Siddhant Chaturvedi,Zoya Akhtar,rap music mumbai dreams struggle,7.9,,Hindi,Bollywood
Kahaani,Mystery Thriller,A pregnant woman searches for her missing husband in Kolkata.,Vidya Balan Parambrata Chatterjee Nawazuddin Siddiqui,Sujoy Ghosh,missing husband mystery kolkata twist,8.1,,Hindi,Bollywood
Baahubali: The Beginning,Action Adventure Drama,A young man discovers his royal legacy and a kingdom shaped by betrayal.,Prabhas Rana Daggubati Anushka Shetty Tamannaah,S S Rajamouli,kingdom warrior revenge epic fantasy,8.0,,Telugu,Tollywood
